iter	Passed	Remaining
0	70	70615
1	79	39731
2	88	29459
3	96	24125
4	104	20867
5	135	22481
6	145	20663
7	156	19362
8	167	18450
9	182	18080
10	194	17493
11	209	17222
12	216	16399
13	229	16154
14	241	15870
15	253	15569
16	262	15198
17	271	14788
18	284	14685
19	292	14348
20	301	14061
21	312	13913
22	322	13682
23	329	13391
24	346	13495
25	356	13363
26	366	13191
27	372	12939
28	382	12814
29	390	12613
30	398	12446
31	404	12223
32	413	12120
33	420	11959
34	427	11777
35	433	11604
36	440	11462
37	449	11372
38	455	11235
39	462	11111
40	485	11355
41	499	11404
42	527	11731
43	535	11630
44	554	11762
45	562	11667
46	569	11557
47	583	11568
48	590	11454
49	596	11339
50	602	11210
51	615	11221
52	628	11225
53	635	11132
54	642	11045
55	658	11096
56	664	10988
57	673	10938
58	698	11140
59	705	11052
60	713	10975
61	720	10894
62	727	10827
63	734	10736
64	739	10641
65	750	10621
66	759	10577
67	766	10506
68	773	10433
69	785	10442
70	794	10399
71	801	10327
72	809	10281
73	820	10269
74	827	10211
75	834	10142
76	841	10082
77	849	10038
78	856	9988
79	864	9946
80	870	9871
81	879	9844
82	887	9803
83	895	9765
84	902	9715
85	914	9724
86	922	9682
87	928	9624
88	934	9566
89	942	9530
90	952	9516
91	961	9491
92	967	9439
93	974	9394
94	984	9378
95	990	9329
96	999	9305
97	1009	9295
98	1044	9510
99	1055	9502
100	1114	9919
101	1153	10157
102	1174	10224
103	1202	10361
104	1218	10383
105	1234	10409
106	1243	10375
107	1252	10345
108	1263	10327
109	1271	10290
110	1278	10241
111	1285	10195
112	1296	10180
113	1304	10135
114	1310	10086
115	1317	10039
116	1325	10005
117	1331	9951
118	1339	9914
119	1347	9882
120	1356	9854
121	1365	9829
122	1371	9780
123	1378	9735
124	1386	9705
125	1392	9662
126	1399	9621
127	1405	9576
128	1413	9540
129	1423	9523
130	1430	9487
131	1436	9445
132	1443	9411
133	1456	9411
134	1463	9378
135	1470	9339
136	1478	9312
137	1487	9289
138	1493	9249
139	1502	9226
140	1509	9195
141	1521	9191
142	1534	9194
143	1543	9174
144	1550	9143
145	1557	9109
146	1565	9083
147	1575	9068
148	1585	9054
149	1594	9033
150	1606	9033
151	1613	8999
152	1623	8988
153	1632	8966
154	1640	8942
155	1647	8914
156	1660	8914
157	1669	8898
158	1681	8896
159	1706	8958
160	1716	8944
161	1726	8929
162	1737	8922
163	1754	8941
164	1764	8927
165	1786	8977
166	1801	8984
167	1882	9324
168	1964	9658
169	2024	9881
170	2035	9865
171	2056	9898
172	2066	9877
173	2089	9920
174	2098	9892
175	2157	10100
176	2235	10395
177	2268	10473
178	2352	10787
179	2478	11289
180	2564	11604
181	2778	12489
182	2798	12494
183	2816	12490
184	2863	12613
185	2884	12622
186	2897	12596
187	2914	12586
188	2929	12569
189	2936	12519
190	2944	12469
191	2952	12425
192	2962	12386
193	2970	12339
194	2977	12293
195	2988	12259
196	2998	12223
197	3005	12175
198	3013	12128
199	3025	12103
200	3035	12064
201	3043	12021
202	3052	11985
203	3064	11956
204	3072	11914
205	3080	11872
206	3102	11883
207	3108	11836
208	3118	11801
209	3126	11762
210	3134	11722
211	3140	11674
212	3147	11630
213	3156	11594
214	3164	11554
215	3171	11511
216	3176	11462
217	3184	11424
218	3193	11387
219	3201	11351
220	3207	11305
221	3213	11260
222	3224	11234
223	3233	11201
224	3240	11161
225	3245	11115
226	3256	11089
227	3264	11054
228	3271	11015
229	3278	10974
230	3289	10949
231	3299	10923
232	3305	10881
233	3311	10839
234	3323	10818
235	3330	10781
236	3337	10743
237	3342	10702
238	3353	10678
239	3361	10643
240	3367	10606
241	3373	10566
242	3380	10530
243	3393	10515
244	3402	10485
245	3408	10448
246	3416	10415
247	3428	10397
248	3435	10361
249	3442	10326
250	3509	10471
251	3636	10792
252	3668	10832
253	3679	10805
254	3700	10812
255	3711	10785
256	3725	10770
257	3731	10732
258	3744	10713
259	3765	10716
260	3779	10702
261	3793	10686
262	3802	10655
263	3813	10631
264	3828	10618
265	3842	10603
266	3858	10593
267	3869	10567
268	3899	10596
269	3930	10627
270	3943	10607
271	3970	10627
272	4051	10789
273	4099	10861
274	4118	10856
275	4185	10979
276	4246	11082
277	4278	11112
278	4300	11114
279	4310	11085
280	4329	11076
281	4342	11056
282	4349	11019
283	4376	11034
284	4383	10996
285	4408	11005
286	4414	10967
287	4433	10961
288	4445	10936
289	4452	10901
290	4464	10877
291	4475	10852
292	4483	10818
293	4506	10821
294	4514	10787
295	4559	10844
296	4609	10911
297	4622	10888
298	4657	10919
299	4686	10935
300	4752	11037
301	4771	11027
302	5083	11693
303	5283	12097
304	5326	12138
305	5392	12229
306	5425	12246
307	5454	12253
308	5482	12260
309	5489	12219
310	5507	12202
311	5516	12164
312	5572	12231
313	5582	12195
314	5589	12155
315	5608	12139
316	5614	12096
317	5620	12053
318	5633	12027
319	5642	11989
320	5647	11946
321	5653	11903
322	5669	11883
323	5676	11842
324	5681	11800
325	5687	11759
326	5699	11729
327	5705	11689
328	5711	11648
329	5717	11607
330	5732	11586
331	5738	11546
332	5744	11506
333	5750	11467
334	5762	11439
335	5769	11401
336	5775	11361
337	5816	11391
338	5842	11391
339	5855	11366
340	5918	11437
341	5953	11453
342	5962	11421
343	5989	11421
344	5998	11388
345	6273	11857
346	6363	11974
347	6374	11942
348	6394	11927
349	6402	11889
350	6409	11851
351	6416	11812
352	6426	11778
353	6432	11739
354	6439	11699
355	6445	11659
356	6455	11626
357	6462	11588
358	6470	11553
359	6477	11514
360	6484	11478
361	6492	11442
362	6499	11404
363	6505	11367
364	6526	11353
365	6536	11321
366	6542	11285
367	6555	11258
368	6561	11220
369	6568	11184
370	6577	11151
371	6589	11124
372	6596	11088
373	6602	11050
374	6608	11014
375	6621	10988
376	6628	10954
377	6634	10917
378	6642	10883
379	6655	10858
380	6662	10824
381	6667	10787
382	6674	10751
383	6689	10730
384	6696	10696
385	6702	10661
386	6709	10627
387	6720	10599
388	6727	10566
389	6732	10530
390	6743	10503
391	6760	10485
392	6773	10461
393	6783	10433
394	6791	10401
395	6799	10371
396	6805	10337
397	6816	10310
398	6824	10279
399	6830	10245
400	6836	10212
401	6843	10180
402	6853	10153
403	6861	10122
404	6868	10091
405	6877	10062
406	6889	10037
407	6896	10006
408	6903	9974
409	6910	9944
410	6921	9919
411	6928	9888
412	6935	9857
413	6943	9828
414	6953	9801
415	6959	9770
416	6967	9740
417	6975	9712
418	6989	9691
419	6997	9663
420	7003	9632
421	7009	9601
422	7020	9575
423	7026	9545
424	7033	9516
425	7040	9487
426	7050	9461
427	7056	9431
428	7064	9402
429	7071	9373
430	7076	9342
431	7087	9319
432	7095	9291
433	7104	9265
434	7111	9236
435	7121	9212
436	7129	9184
437	7135	9155
438	7141	9125
439	7150	9100
440	7156	9071
441	7163	9043
442	7171	9016
443	7177	8987
444	7186	8963
445	7193	8935
446	7203	8911
447	7210	8884
448	7220	8860
449	7227	8834
450	7235	8808
451	7241	8779
452	7248	8752
453	7259	8730
454	7269	8707
455	7274	8678
456	7291	8663
457	7301	8641
458	7309	8614
459	7321	8595
460	7330	8570
461	7336	8543
462	7355	8531
463	7372	8516
464	7378	8489
465	7395	8475
466	7402	8449
467	7408	8421
468	7414	8395
469	7426	8374
470	7439	8355
471	7446	8329
472	7456	8308
473	7466	8285
474	7472	8259
475	7477	8232
476	7496	8219
477	7510	8201
478	7516	8175
479	7534	8162
480	7543	8139
481	7549	8113
482	7563	8096
483	7571	8071
484	7576	8045
485	7582	8019
486	7593	7999
487	7601	7975
488	7608	7950
489	7613	7924
490	7628	7907
491	7634	7882
492	7642	7859
493	7648	7834
494	7660	7815
495	7669	7793
496	7676	7769
497	7682	7743
498	7694	7725
499	7701	7701
500	7707	7677
501	7713	7652
502	7726	7634
503	7732	7609
504	7739	7585
505	7744	7561
506	7750	7536
507	7762	7518
508	7769	7495
509	7776	7471
510	7787	7452
511	7802	7437
512	7809	7413
513	7816	7390
514	7827	7371
515	7834	7348
516	7840	7325
517	7846	7301
518	7855	7280
519	7864	7259
520	7872	7237
521	7879	7215
522	7889	7195
523	7900	7176
524	7907	7154
525	7917	7134
526	7924	7112
527	7933	7091
528	7939	7069
529	7946	7047
530	7955	7026
531	7964	7006
532	7972	6985
533	7978	6962
534	7986	6941
535	7996	6922
536	8003	6900
537	8009	6878
538	8015	6855
539	8023	6834
540	8032	6814
541	8037	6792
542	8043	6769
543	8051	6749
544	8058	6727
545	8066	6707
546	8073	6685
547	8080	6664
548	8086	6643
549	8095	6623
550	8101	6601
551	8109	6581
552	8116	6560
553	8124	6540
554	8130	6518
555	8137	6498
556	8144	6477
557	8150	6456
558	8160	6438
559	8168	6418
560	8175	6397
561	8181	6376
562	8188	6355
563	8196	6336
564	8203	6315
565	8211	6296
566	8216	6274
567	8224	6255
568	8231	6235
569	8238	6215
570	8244	6194
571	8250	6173
572	8256	6152
573	8263	6132
574	8269	6111
575	8275	6091
576	8281	6071
577	8287	6050
578	8297	6033
579	8305	6013
580	8311	5993
581	8318	5974
582	8330	5958
583	8342	5942
584	8349	5923
585	8360	5906
586	8368	5887
587	8374	5867
588	8380	5848
589	8387	5828
590	8393	5808
591	8401	5790
592	8408	5770
593	8414	5751
594	8421	5732
595	8431	5715
596	8439	5696
597	8445	5677
598	8451	5657
599	8459	5639
600	8472	5624
601	8479	5605
602	8484	5586
603	8490	5566
604	8500	5550
605	8506	5530
606	8512	5511
607	8518	5492
608	8525	5473
609	8536	5457
610	8542	5438
611	8547	5419
612	8553	5400
613	8560	5381
614	8572	5366
615	8579	5348
616	8585	5329
617	8592	5311
618	8602	5295
619	8610	5277
620	8617	5259
621	8623	5240
622	8632	5223
623	8639	5205
624	8646	5187
625	8652	5169
626	8659	5151
627	8669	5135
628	8676	5117
629	8683	5099
630	8689	5081
631	8699	5065
632	8706	5047
633	8712	5029
634	8719	5011
635	8726	4994
636	8734	4977
637	8740	4959
638	8746	4941
639	8752	4923
640	8761	4906
641	8767	4888
642	8773	4871
643	8779	4853
644	8786	4836
645	8796	4820
646	8803	4803
647	8810	4786
648	8817	4768
649	8822	4750
650	8837	4737
651	8843	4720
652	8850	4702
653	8857	4685
654	8865	4669
655	8871	4651
656	8877	4634
657	8883	4617
658	8889	4599
659	8899	4584
660	8906	4567
661	8913	4550
662	8919	4533
663	8928	4517
664	8936	4501
665	8942	4484
666	8948	4467
667	8955	4450
668	8962	4434
669	8969	4417
670	8975	4400
671	8981	4383
672	8987	4367
673	8996	4351
674	9008	4337
675	9017	4321
676	9090	4337
677	9116	4329
678	9141	4321
679	9151	4306
680	9160	4291
681	9170	4275
682	9179	4260
683	9212	4255
684	9225	4242
685	9235	4227
686	9243	4211
687	9256	4197
688	9263	4181
689	9272	4165
690	9285	4152
691	9292	4135
692	9299	4119
693	9306	4103
694	9316	4088
695	9324	4072
696	9331	4056
697	9338	4040
698	9349	4025
699	9356	4009
700	9364	3994
701	9371	3978
702	9380	3963
703	9389	3947
704	9396	3931
705	9402	3915
706	9408	3899
707	9421	3885
708	9428	3869
709	9434	3853
710	9446	3839
711	9458	3826
712	9466	3810
713	9486	3799
714	9506	3789
715	9514	3773
716	9523	3758
717	9529	3742
718	9535	3726
719	9541	3710
720	9548	3694
721	9556	3679
722	9561	3663
723	9567	3647
724	9573	3631
725	9580	3615
726	9589	3600
727	9595	3585
728	9601	3569
729	9607	3553
730	9614	3538
731	9624	3523
732	9630	3507
733	9636	3492
734	9642	3476
735	9649	3461
736	9656	3445
737	9662	3430
738	9668	3414
739	9675	3399
740	9683	3384
741	9689	3369
742	9696	3353
743	9702	3338
744	9708	3323
745	9718	3309
746	9724	3293
747	9730	3278
748	9736	3262
749	9742	3247
750	9754	3234
751	9760	3218
752	9768	3204
753	9779	3190
754	9801	3180
755	9820	3169
756	9832	3156
757	9856	3146
758	9869	3133
759	9899	3126
760	9921	3115
761	9936	3103
762	9969	3096
763	9990	3086
764	10011	3075
765	10021	3061
766	10033	3048
767	10054	3037
768	10076	3026
769	10090	3014
770	10100	2999
771	10114	2987
772	10128	2974
773	10152	2964
774	10185	2957
775	10214	2948
776	10239	2938
777	10254	2926
778	10269	2913
779	10299	2904
780	10328	2896
781	10349	2885
782	10380	2876
783	10437	2875
784	10478	2869
785	10515	2863
786	10531	2850
787	10542	2836
788	10564	2825
789	10593	2816
790	10794	2852
791	10902	2863
792	11075	2891
793	12093	3137
794	12515	3227
795	12706	3256
796	12784	3256
797	13509	3419
798	13578	3415
799	13609	3402
800	13632	3386
801	13674	3375
802	13691	3358
803	13711	3342
804	13741	3328
805	13756	3311
806	13779	3295
807	13792	3277
808	13807	3259
809	13823	3242
810	13836	3224
811	13855	3208
812	13867	3189
813	13888	3173
814	13898	3154
815	13918	3138
816	13928	3119
817	13953	3104
818	13961	3085
819	13988	3070
820	13996	3051
821	14019	3035
822	14028	3017
823	14043	2999
824	14053	2981
825	14062	2962
826	14082	2945
827	14093	2927
828	14102	2908
829	14127	2893
830	14137	2875
831	14155	2858
832	14163	2839
833	14182	2822
834	14195	2805
835	14210	2787
836	14223	2769
837	14231	2751
838	14254	2735
839	14271	2718
840	14293	2702
841	14308	2684
842	14320	2667
843	14328	2648
844	14349	2632
845	14363	2614
846	14380	2597
847	14388	2579
848	14412	2563
849	14425	2545
850	14436	2527
851	14450	2510
852	14463	2492
853	14477	2475
854	14492	2457
855	14504	2440
856	14516	2422
857	14557	2409
858	14575	2392
859	14590	2375
860	14598	2356
861	14604	2338
862	14618	2320
863	14632	2303
864	14640	2284
865	14651	2267
866	14660	2248
867	14669	2230
868	14681	2213
869	14692	2195
870	14702	2177
871	14713	2159
872	14722	2141
873	14733	2123
874	14743	2106
875	14753	2088
876	14761	2070
877	14770	2052
878	14782	2034
879	14792	2017
880	14813	2000
881	14821	1982
882	14832	1965
883	14839	1947
884	14851	1929
885	14860	1912
886	14868	1894
887	14878	1876
888	14887	1858
889	14895	1841
890	14903	1823
891	14916	1805
892	14927	1788
893	14934	1770
894	14945	1753
895	14955	1735
896	14964	1718
897	14971	1700
898	14986	1683
899	14996	1666
900	15003	1648
901	15031	1633
902	15776	1694
903	15907	1689
904	15942	1673
905	16267	1687
906	16299	1671
907	16314	1652
908	16540	1655
909	16764	1657
910	16913	1652
911	17352	1674
912	17819	1698
913	18002	1693
914	18493	1718
915	18566	1702
916	18617	1685
917	18791	1678
918	18942	1669
919	19033	1655
920	19126	1640
921	19163	1621
922	19211	1602
923	19224	1581
924	19238	1559
925	19561	1563
926	19595	1543
927	19619	1522
928	19651	1501
929	19678	1481
930	19687	1459
931	19703	1437
932	19719	1416
933	19733	1394
934	19746	1372
935	19770	1351
936	19788	1330
937	19798	1308
938	19813	1287
939	19820	1265
940	19830	1243
941	19844	1221
942	19853	1200
943	19872	1178
944	19882	1157
945	19891	1135
946	19903	1113
947	19911	1092
948	19918	1070
949	19942	1049
950	19952	1028
951	20054	1011
952	20063	989
953	20076	968
954	20117	947
955	20127	926
956	20143	905
957	20151	883
958	20158	861
959	20171	840
960	20181	819
961	20189	797
962	20202	776
963	20211	754
964	20222	733
965	20228	711
966	20242	690
967	20250	669
968	20257	648
969	20264	626
970	20277	605
971	20286	584
972	20292	563
973	20303	541
974	20312	520
975	20323	499
976	20340	478
977	20350	457
978	20357	436
979	20365	415
980	20378	394
981	20387	373
982	20394	352
983	20406	331
984	20418	310
985	20425	290
986	20438	269
987	20447	248
988	20456	227
989	20463	206
990	20474	185
991	20485	165
992	20492	144
993	20503	123
994	20514	103
995	20521	82
996	20529	61
997	20551	41
998	20559	20
999	20571	0
