iter	Passed	Remaining
0	193	193751
1	367	183509
2	527	175346
3	687	171219
4	857	170612
5	1052	174371
6	1224	173640
7	1395	173043
8	1551	170879
9	1720	170285
10	1898	170686
11	2083	171580
12	2266	172096
13	2463	173493
14	2651	174138
15	2817	173294
16	3014	174308
17	3178	173398
18	3328	171852
19	3502	171605
20	3670	171128
21	3850	171162
22	4022	170871
23	4216	171489
24	4376	170702
25	4554	170604
26	4739	170814
27	4817	167240
28	5140	172122
29	5338	172618
30	5501	171973
31	5687	172046
32	5851	171463
33	5991	170238
34	6162	169898
35	6317	169160
36	6466	168311
37	6636	168000
38	6808	167765
39	6967	167228
40	7133	166850
41	7303	166595
42	7490	166698
43	7683	166943
44	7881	167256
45	8051	166982
46	8203	166334
47	8362	165858
48	8512	165220
49	8678	164892
50	8690	161712
51	8856	161460
52	9033	161410
53	9186	160932
54	9334	160380
55	9513	160368
56	9661	159843
57	9819	159487
58	9993	159382
59	10154	159083
60	10306	158648
61	10488	158681
62	10636	158190
63	10786	157746
64	10969	157791
65	11120	157366
66	11265	156876
67	11429	156654
68	11440	154364
69	11616	154339
70	11778	154120
71	11935	153838
72	12114	153831
73	12282	153698
74	12465	153735
75	12650	153802
76	12864	154201
77	13022	153929
78	13251	154490
79	13418	154307
80	13575	154019
81	13761	154056
82	13932	153928
83	14102	153782
84	14302	153964
85	14488	153985
86	14639	153627
87	14830	153694
88	14994	153481
89	15147	153161
90	15297	152802
91	15502	152999
92	15652	152651
93	15832	152593
94	16051	152912
95	16210	152653
96	16371	152404
97	16630	153069
98	16646	151496
99	16818	151370
100	16988	151217
101	17163	151104
102	17337	150985
103	17492	150701
104	17663	150557
105	17855	150591
106	18027	150451
107	18190	150242
108	18392	150348
109	18553	150113
110	18717	149911
111	18901	149861
112	19073	149714
113	19249	149608
114	19496	150038
115	19641	149678
116	19801	149441
117	20017	149622
118	20157	149230
119	20312	148961
120	20474	148735
121	20633	148493
122	20777	148147
123	20944	147963
124	21107	147750
125	21244	147361
126	21410	147176
127	21564	146909
128	21708	146571
129	21865	146332
130	22043	146227
131	22180	145854
132	22335	145600
133	22485	145319
134	22632	145012
135	22785	144757
136	22941	144513
137	23097	144276
138	23245	143988
139	23404	143772
140	23549	143469
141	23709	143259
142	23868	143043
143	24022	142800
144	24166	142500
145	24340	142377
146	24515	142253
147	24698	142181
148	24869	142039
149	25038	141885
150	25208	141733
151	25416	141798
152	25577	141597
153	25741	141409
154	25914	141275
155	26081	141107
156	26229	140836
157	26399	140684
158	26653	140978
159	26893	141188
160	27155	141513
