city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,1,36,1.0
city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,Small & Medium-org.,Pvt Ltd,5,47,0.0
city_21,0.624,Undefined,No relevent experience,Full time course,Graduate,STEM,5,Undefined,Pvt Ltd,0,83,0.0
city_115,0.789,Undefined,No relevent experience,no_enrollment,Graduate,Business Degree,0,Undefined,Pvt Ltd,0,52,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Small & Medium-org.,Funded Startup,4,8,0.0
city_176,0.764,Undefined,Has relevent experience,Part time course,Graduate,STEM,11,Undefined,Pvt Ltd,1,24,1.0
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,STEM,5,Small & Medium-org.,Funded Startup,1,24,0.0
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Small & Medium-org.,Pvt Ltd,5,18,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Small & Medium-org.,Pvt Ltd,1,46,1.0
city_103,0.92,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,17,Large-org.,Pvt Ltd,5,123,0.0
city_21,0.624,Undefined,No relevent experience,Full time course,High School,STEM,2,Undefined,Pvt Ltd,0,32,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Large-org.,Pvt Ltd,1,108,0.0
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Large-org.,Pvt Ltd,3,23,0.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Undefined,Pvt Ltd,0,24,0.0
city_21,0.624,Undefined,No relevent experience,Full time course,High School,STEM,5,Undefined,Pvt Ltd,0,26,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Small & Medium-org.,Pvt Ltd,5,18,0.0
city_103,0.92,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,1,Small & Medium-org.,Pvt Ltd,0,106,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,2,Large-org.,Pvt Ltd,2,7,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,7,Large-org.,Pvt Ltd,0,23,1.0
city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Undefined,Pvt Ltd,1,132,1.0
city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Small & Medium-org.,Pvt Ltd,1,68,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Small & Medium-org.,Pvt Ltd,2,50,0.0
city_102,0.804,Undefined,Has relevent experience,no_enrollment,Masters,STEM,10,Undefined,Pvt Ltd,1,48,0.0
city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0,Large-org.,Pvt Ltd,1,65,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,5,Large-org.,Pvt Ltd,1,13,0.0
city_67,0.855,Undefined,No relevent experience,no_enrollment,High School,STEM,4,Undefined,Pvt Ltd,0,22,0.0
city_21,0.624,Undefined,Has relevent experience,Part time course,Graduate,STEM,14,Small & Medium-org.,Pvt Ltd,1,148,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Undefined,Pvt Ltd,2,72,0.0
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,STEM,11,Small & Medium-org.,Pvt Ltd,1,8,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,Small & Medium-org.,Funded Startup,2,68,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,3,40,0.0
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,Large-org.,Pvt Ltd,5,141,0.0
city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,Undefined,Pvt Ltd,1,24,0.0
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,5,82,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,Large-org.,Pvt Ltd,3,145,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,Early Stage Startup,2,206,0.0
city_114,0.926,Male,No relevent experience,Part time course,High School,STEM,1,Large-org.,Other,1,152,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,21,Small & Medium-org.,Pvt Ltd,4,42,1.0
city_103,0.92,Undefined,No relevent experience,no_enrollment,Graduate,STEM,12,Undefined,Pvt Ltd,4,50,0.0
city_71,0.884,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Undefined,Pvt Ltd,0,106,0.0
city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,Large-org.,Public Sector,2,14,0.0
city_104,0.924,Male,Has relevent experience,no_enrollment,High School,STEM,4,Small & Medium-org.,Pvt Ltd,2,36,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Masters,STEM,6,Small & Medium-org.,Early Stage Startup,1,112,1.0
city_64,0.6659999999999999,Undefined,No relevent experience,no_enrollment,Graduate,No Major,9,Small & Medium-org.,Pvt Ltd,0,108,0.0
city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,Large-org.,Pvt Ltd,3,7,1.0
city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,Undefined,Pvt Ltd,0,26,1.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Small & Medium-org.,Pvt Ltd,0,87,1.0
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,Large-org.,Public Sector,4,52,1.0
city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Undefined,Pvt Ltd,5,20,1.0
city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Small & Medium-org.,Pvt Ltd,1,21,0.0
city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Undefined,Pvt Ltd,1,92,1.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,Pvt Ltd,2,102,0.0
city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,Large-org.,Pvt Ltd,5,26,0.0
city_104,0.924,Undefined,Has relevent experience,no_enrollment,Masters,STEM,3,Small & Medium-org.,Early Stage Startup,2,7,0.0
city_114,0.926,Male,No relevent experience,Full time course,High School,STEM,4,Large-org.,Pvt Ltd,1,43,0.0
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,1,45,0.0
city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,Small & Medium-org.,Early Stage Startup,2,52,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,2,19,0.0
city_21,0.624,Undefined,Has relevent experience,Full time course,Graduate,STEM,2,Small & Medium-org.,Funded Startup,0,32,1.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21,Small & Medium-org.,Pvt Ltd,5,26,1.0
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Undefined,Pvt Ltd,1,90,0.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,3,25,0.0
city_41,0.8270000000000001,Undefined,Has relevent experience,no_enrollment,Masters,STEM,13,Small & Medium-org.,Pvt Ltd,1,15,0.0
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21,Small & Medium-org.,Pvt Ltd,5,48,0.0
city_11,0.55,Undefined,No relevent experience,Full time course,High School,STEM,3,Undefined,Pvt Ltd,0,98,0.0
city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,Pvt Ltd,2,142,1.0
city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,Large-org.,Pvt Ltd,4,13,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Undefined,Pvt Ltd,5,47,0.0
city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,Small & Medium-org.,Public Sector,1,28,0.0
city_90,0.698,Undefined,No relevent experience,no_enrollment,Graduate,STEM,2,Undefined,Pvt Ltd,0,228,1.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,4,22,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0,Undefined,Pvt Ltd,0,18,1.0
city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Small & Medium-org.,Pvt Ltd,1,29,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Small & Medium-org.,Pvt Ltd,1,46,0.0
city_11,0.55,Undefined,No relevent experience,Full time course,Graduate,STEM,0,Undefined,Pvt Ltd,0,12,0.0
city_103,0.92,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,5,Small & Medium-org.,Pvt Ltd,2,17,0.0
city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Small & Medium-org.,Pvt Ltd,2,65,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,Small & Medium-org.,Pvt Ltd,1,35,0.0
city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,Large-org.,Pvt Ltd,3,14,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,Small & Medium-org.,Early Stage Startup,1,4,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Small & Medium-org.,Pvt Ltd,5,12,0.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,2,108,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,1,136,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Small & Medium-org.,Pvt Ltd,1,27,0.0
city_20,0.7959999999999999,Undefined,Has relevent experience,Part time course,Masters,STEM,4,Small & Medium-org.,Funded Startup,1,74,0.0
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Small & Medium-org.,Early Stage Startup,1,86,0.0
city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0,Small & Medium-org.,Pvt Ltd,2,83,0.0
city_103,0.92,Undefined,No relevent experience,Full time course,High School,STEM,4,Undefined,Pvt Ltd,3,75,0.0
city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,Undefined,Public Sector,2,42,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,1,332,0.0
city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,Undefined,Pvt Ltd,0,140,0.0
city_16,0.91,Male,No relevent experience,no_enrollment,High School,STEM,3,Undefined,Pvt Ltd,0,182,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,Small & Medium-org.,Pvt Ltd,1,13,1.0
city_19,0.682,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,5,Small & Medium-org.,Pvt Ltd,2,172,1.0
city_103,0.92,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,NGO,1,48,0.0
city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,Small & Medium-org.,Pvt Ltd,1,33,0.0
city_160,0.92,Undefined,No relevent experience,Full time course,High School,STEM,2,Small & Medium-org.,Pvt Ltd,1,142,0.0
city_74,0.579,Undefined,No relevent experience,Full time course,Graduate,STEM,2,Small & Medium-org.,Pvt Ltd,1,34,0.0
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,2,14,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,2,27,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Small & Medium-org.,Pvt Ltd,1,24,1.0
city_173,0.878,Undefined,No relevent experience,no_enrollment,Masters,STEM,21,Undefined,Pvt Ltd,1,150,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,Small & Medium-org.,NGO,5,20,0.0
city_103,0.92,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,5,Small & Medium-org.,Pvt Ltd,1,140,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Large-org.,Pvt Ltd,1,52,0.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,2,160,0.0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Large-org.,Pvt Ltd,2,3,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Small & Medium-org.,Pvt Ltd,2,2,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Large-org.,Pvt Ltd,5,28,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,21,Undefined,Pvt Ltd,4,46,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Small & Medium-org.,Pvt Ltd,1,210,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,Pvt Ltd,1,36,0.0
city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,Undefined,Pvt Ltd,1,160,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,Small & Medium-org.,NGO,2,101,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Small & Medium-org.,Pvt Ltd,1,46,0.0
city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Large-org.,Pvt Ltd,5,19,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Small & Medium-org.,Pvt Ltd,2,26,1.0
city_90,0.698,Undefined,Has relevent experience,Full time course,Graduate,STEM,7,Small & Medium-org.,NGO,1,90,0.0
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Small & Medium-org.,Pvt Ltd,4,59,0.0
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,Small & Medium-org.,Funded Startup,1,260,0.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,Small & Medium-org.,Pvt Ltd,5,74,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21,Small & Medium-org.,Pvt Ltd,2,20,1.0
city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Small & Medium-org.,Pvt Ltd,2,8,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,1,131,0.0
city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,Undefined,Pvt Ltd,1,45,0.0
city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,Small & Medium-org.,Pvt Ltd,2,109,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,Small & Medium-org.,Pvt Ltd,1,70,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,NGO,5,17,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,Small & Medium-org.,Pvt Ltd,1,51,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,3,60,1.0
city_36,0.893,Undefined,No relevent experience,no_enrollment,Phd,STEM,21,Large-org.,Public Sector,5,4,0.0
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,Small & Medium-org.,Pvt Ltd,5,7,0.0
city_102,0.804,Undefined,Has relevent experience,no_enrollment,Masters,STEM,21,Small & Medium-org.,Pvt Ltd,3,164,0.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Undefined,Pvt Ltd,4,290,0.0
city_102,0.804,Male,No relevent experience,no_enrollment,High School,STEM,2,Small & Medium-org.,NGO,0,145,0.0
city_103,0.92,Undefined,No relevent experience,no_enrollment,Phd,STEM,0,Undefined,Pvt Ltd,0,70,0.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Undefined,Pvt Ltd,1,24,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,Large-org.,Pvt Ltd,1,133,1.0
city_11,0.55,Undefined,No relevent experience,Full time course,Graduate,STEM,2,Undefined,Pvt Ltd,1,20,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,Funded Startup,1,76,0.0
city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,Undefined,Pvt Ltd,4,21,1.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,Large-org.,Pvt Ltd,2,34,0.0
city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,Small & Medium-org.,Pvt Ltd,2,15,0.0
city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,5,156,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Large-org.,Pvt Ltd,5,15,0.0
city_114,0.926,Undefined,Has relevent experience,no_enrollment,Masters,STEM,21,Undefined,Pvt Ltd,0,120,0.0
city_157,0.769,Undefined,Has relevent experience,no_enrollment,Graduate,No Major,14,Large-org.,Pvt Ltd,5,47,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Undefined,Pvt Ltd,2,100,1.0
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,0,102,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,4,Undefined,Pvt Ltd,0,52,0.0
city_114,0.926,Undefined,Has relevent experience,no_enrollment,High School,STEM,9,Small & Medium-org.,Pvt Ltd,4,39,0.0
city_103,0.92,Male,Has relevent experience,Full time course,High School,STEM,4,Undefined,Pvt Ltd,1,112,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21,Small & Medium-org.,Pvt Ltd,5,14,0.0
city_16,0.91,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,11,Undefined,Pvt Ltd,1,4,0.0
city_16,0.91,Undefined,Has relevent experience,no_enrollment,Masters,Arts,21,Large-org.,NGO,5,55,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Large-org.,Pvt Ltd,4,49,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Undefined,Pvt Ltd,5,72,0.0
city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,Large-org.,Pvt Ltd,3,141,1.0
city_114,0.926,Male,No relevent experience,no_enrollment,High School,STEM,6,Undefined,Pvt Ltd,0,28,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Large-org.,Pvt Ltd,1,6,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,Large-org.,Pvt Ltd,1,125,0.0
city_75,0.939,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,0,326,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21,Small & Medium-org.,Pvt Ltd,2,33,0.0
city_102,0.804,Undefined,No relevent experience,no_enrollment,Masters,STEM,6,Large-org.,Pvt Ltd,5,40,0.0
city_160,0.92,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,18,Undefined,Pvt Ltd,1,198,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,Large-org.,Pvt Ltd,5,55,0.0
