city,city_development_index,experience,company_size,last_new_job,training_hours,target,gender Female,gender Male,gender Other,gender Undefined,relevent_experience Has relevent experience,relevent_experience No relevent experience,enrolled_university Full time course,enrolled_university Part time course,enrolled_university no_enrollment,education_level Graduate,education_level High School,education_level Masters,education_level Phd,education_level Primary School,major_discipline Arts,major_discipline Business Degree,major_discipline Humanities,major_discipline No Major,major_discipline Other,major_discipline STEM,company_type Early Stage Startup,company_type Funded Startup,company_type NGO,company_type Other,company_type Public Sector,company_type Pvt Ltd
103,-0.04413029727684965,10.27158153110853,2,0.6931471805599453,4.821239671223904,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40,-0.06210936810096762,8.340146945171751,1,1.791759469228055,5.305128925840359,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,4.060961901053334,2,0.0,6.411223260200361,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
115,-0.0614464478898525,-1.0173571894581195,2,0.0,5.494240044420328,1.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
162,-0.06251765811800884,10.27158153110853,1,1.6094379124341003,2.4551835885450153,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
176,-0.06264544026029871,6.855011997926303,2,0.6931471805599453,4.124933702466748,1.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160,-0.04413029727684965,4.060961901053334,1,0.6931471805599453,4.124933702466748,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
46,-0.0627284450765177,7.62281183419631,1,1.791759469228055,3.65829080106677,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,5.104436473296454,1,0.6931471805599453,5.265304698915554,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,9.016475440104003,0,1.791759469228055,7.239486468789535,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.0427257440778885,2,0.0,4.614160650970413,1.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.060961901053334,0,0.6931471805599453,6.959639853074309,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
61,-0.045983474937016613,10.27158153110853,0,1.3862943611198906,4.054502187987168,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.0427257440778885,2,0.0,4.124933702466748,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,4.060961901053334,2,0.0,4.258737243913168,0.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,-0.04238594281992869,8.682963593756838,1,1.791759469228055,3.65829080106677,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,1.0763719956934432,1,0.0,6.919911812328043,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.0427257440778885,0,1.0986122886681098,2.2718682302390047,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,5.104436473296454,0,0.0,4.054502187987168,1.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13,-0.05886565751859643,3.4699883298945324,2,0.6931471805599453,7.393986831620669,1.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
159,-0.05739404998056883,6.855011997926303,1,0.6931471805599453,6.011636199474196,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,-0.04238594281992869,6.855011997926303,1,1.0986122886681098,5.420498568152299,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
102,-0.06055617196067113,6.448100708918908,2,0.6931471805599453,5.344251835386054,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40,-0.06210936810096762,-1.0173571894581195,0,0.6931471805599453,5.923000734914632,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21,-0.06582272428503738,4.060961901053334,0,0.6931471805599453,3.156278884346509,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,-0.05608942537086867,3.4699883298945324,2,0.0,3.981463099346513,0.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,7.987118815062776,1,0.6931471805599453,7.648171376840261,1.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.060961901053334,2,1.0986122886681098,6.124872981450852,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
100,-0.05147716805339935,6.855011997926303,1,0.6931471805599453,2.4551835885450153,1.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,9.34146061390593,1,1.0986122886681098,6.011636199474196,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
103,-0.04413029727684965,10.27158153110853,1,1.3862943611198906,5.009914181245006,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,9.658592990732298,0,1.791759469228055,7.539935998993689,0.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.060961901053334,2,0.6931471805599453,4.124933702466748,0.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160,-0.04413029727684965,10.27158153110853,1,1.791759469228055,6.386546375158718,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,-0.046722899633534806,7.245954608194154,0,1.3862943611198906,7.602319238436613,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
103,-0.04413029727684965,6.448100708918908,1,1.0986122886681098,8.410524489102011,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
114,-0.04238594281992869,1.0763719956934432,0,0.6931471805599453,7.708116498741832,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
114,-0.04238594281992869,10.27158153110853,1,1.6094379124341003,5.098401596969578,1.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,7.245954608194154,2,1.6094379124341003,5.420498568152299,0.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
71,-0.05199521614167322,2.8095982716820473,2,0.0,6.919911812328043,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,-0.04238594281992869,8.682963593756838,0,1.0986122886681098,3.2682627375103257,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
104,-0.04298439955578926,3.4699883298945324,1,1.0986122886681098,4.821239671223904,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
